patient_id,sex,population,superpopulation
HG01885,M,ACB,AFR
HG01886,F,ACB,AFR
HG01887,M,ACB,AFR
HG01888,M,ACB,AFR
HG01889,F,ACB,AFR
HG01890,M,ACB,AFR
HG01891,F,ACB,AFR
HG01892,M,PEL,AMR
HG01893,F,PEL,AMR
HG01894,F,ACB,AFR
HG01895,M,ACB,AFR
HG01896,F,ACB,AFR
HG01897,M,ACB,AFR
HG01898,F,PEL,AMR
HG01912,M,ACB,AFR
HG01914,M,ACB,AFR
HG01915,F,ACB,AFR
HG01916,F,ACB,AFR
HG01917,M,PEL,AMR
HG01918,F,PEL,AMR
HG01919,F,PEL,AMR
HG01920,M,PEL,AMR
HG01921,F,PEL,AMR
HG01922,F,PEL,AMR
HG01923,M,PEL,AMR
HG01924,F,PEL,AMR
HG01925,F,PEL,AMR
HG01926,M,PEL,AMR
HG01927,F,PEL,AMR
HG01928,M,PEL,AMR
HG01932,M,PEL,AMR
HG01933,F,PEL,AMR
HG01934,M,PEL,AMR
HG01935,M,PEL,AMR
HG01936,F,PEL,AMR
HG01937,M,PEL,AMR
HG01938,M,PEL,AMR
HG01939,F,PEL,AMR
HG01940,F,PEL,AMR
HG01941,M,PEL,AMR
HG01942,F,PEL,AMR
HG01943,M,PEL,AMR
HG01944,M,PEL,AMR
HG01945,F,PEL,AMR
HG01946,M,PEL,AMR
HG01947,M,PEL,AMR
HG01948,F,PEL,AMR
HG01949,F,PEL,AMR
HG01950,M,PEL,AMR
HG01951,F,PEL,AMR
HG01952,M,PEL,AMR
HG01953,M,PEL,AMR
HG01954,F,PEL,AMR
HG01955,F,PEL,AMR
HG01956,F,ACB,AFR
HG01958,F,ACB,AFR
HG01959,F,ACB,AFR
HG01960,F,ACB,AFR
HG01961,M,PEL,AMR
HG01965,F,PEL,AMR
HG01967,M,PEL,AMR
HG01968,F,PEL,AMR
HG01969,F,PEL,AMR
HG01970,M,PEL,AMR
HG01971,F,PEL,AMR
HG01972,F,PEL,AMR
HG01973,F,PEL,AMR
HG01974,M,PEL,AMR
HG01975,F,PEL,AMR
HG01976,F,PEL,AMR
HG01977,M,PEL,AMR
HG01978,F,PEL,AMR
HG01979,M,PEL,AMR
HG01980,F,PEL,AMR
HG01981,F,PEL,AMR
HG01982,M,PEL,AMR
HG01983,F,PEL,AMR
HG01984,M,PEL,AMR
HG01985,F,ACB,AFR
HG01986,M,ACB,AFR
HG01987,M,ACB,AFR
HG01988,M,ACB,AFR
HG01989,F,ACB,AFR
HG01990,M,ACB,AFR
HG01991,M,PEL,AMR
HG01992,F,PEL,AMR
HG01993,F,PEL,AMR
HG01997,F,PEL,AMR
HG01998,M,PEL,AMR
HG02002,M,PEL,AMR
HG02003,F,PEL,AMR
HG02004,F,PEL,AMR
HG02006,F,PEL,AMR
HG02008,M,PEL,AMR
HG02009,M,ACB,AFR
HG02010,F,ACB,AFR
HG02011,M,ACB,AFR
HG02012,F,ACB,AFR
HG02013,M,ACB,AFR
HG02014,M,ACB,AFR
HG02015,M,KHV,EAS
HG02016,F,KHV,EAS
HG02017,M,KHV,EAS
HG02018,F,KHV,EAS
HG02019,F,KHV,EAS
HG02020,M,KHV,EAS
HG02023,M,KHV,EAS
HG02024,F,KHV,EAS
HG02025,F,KHV,EAS
HG02026,M,KHV,EAS
HG02027,M,KHV,EAS
HG02028,F,KHV,EAS
HG02029,M,KHV,EAS
HG02030,M,KHV,EAS
HG02031,F,KHV,EAS
HG02032,M,KHV,EAS
HG02035,M,KHV,EAS
HG02040,M,KHV,EAS
HG02047,M,KHV,EAS
HG02048,F,KHV,EAS
HG02049,F,KHV,EAS
HG02050,M,KHV,EAS
HG02051,M,ACB,AFR
HG02052,F,ACB,AFR
HG02053,M,ACB,AFR
HG02054,F,ACB,AFR
HG02055,M,ACB,AFR
HG02056,M,KHV,EAS
HG02057,F,KHV,EAS
HG02058,M,KHV,EAS
HG02059,F,KHV,EAS
HG02060,F,KHV,EAS
HG02061,M,KHV,EAS
HG02064,M,KHV,EAS
HG02067,M,KHV,EAS
HG02068,F,KHV,EAS
HG02069,F,KHV,EAS
HG02070,M,KHV,EAS
HG02071,M,KHV,EAS
HG02072,F,KHV,EAS
HG02073,M,KHV,EAS
HG02074,M,KHV,EAS
HG02075,F,KHV,EAS
HG02076,M,KHV,EAS
HG02077,M,KHV,EAS
HG02078,F,KHV,EAS
HG02079,M,KHV,EAS
HG02080,F,KHV,EAS
HG02081,F,KHV,EAS
HG02082,M,KHV,EAS
HG02083,M,KHV,EAS
HG02084,F,KHV,EAS
HG02085,M,KHV,EAS
HG02086,F,KHV,EAS
HG02087,F,KHV,EAS
HG02088,M,KHV,EAS
HG02089,F,PEL,AMR
HG02090,M,PEL,AMR
HG02091,F,PEL,AMR
HG02095,F,ACB,AFR
HG02102,F,PEL,AMR
HG02104,M,PEL,AMR
HG02105,F,PEL,AMR
HG02106,F,PEL,AMR
HG02107,M,ACB,AFR
HG02108,F,ACB,AFR
HG02111,F,ACB,AFR
HG02113,F,KHV,EAS
HG02116,M,KHV,EAS
